index,datum from survey,type of value,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
496,Research was satisfactory overall.,natural number between 1 and 10,2,8,6,1,1,1,2,2,2,4,3,6,1,3,4,2,1,9,7,1,3,4,6,10,2,7,3,4,2,9,7,10,9,7,6,2,2,2,8,1,6,4,3,8,8,5,6,1,4,10,10,7,5,8,1,8,3,1,1,10,10,2,4,1,5,7,1,6,1,2,8,2,9,5,4,6,7,7,3,9,5,7,1,3,5,3,8,7,3,1,3,1,1,1,4,7,8,6,4,1
497,Research provided foundational skills.,natural number between 1 and 10,1,3,10,8,5,6,6,5,5,1,2,4,7,3,10,7,3,7,2,4,1,1,6,1,6,2,2,6,5,1,6,1,2,4,1,1,9,10,1,7,5,1,1,3,6,1,5,1,4,1,2,5,10,1,10,6,1,8,4,4,7,1,4,10,1,1,4,6,4,5,1,9,7,3,1,7,3,7,7,2,4,9,8,10,1,1,10,1,1,7,1,1,5,6,1,4,10,9,8,4
498,Research was useful.,natural number between 1 and 10,4,5,4,4,3,4,4,4,4,4,5,4,4,4,4,5,4,5,4,4,3,3,4,4,4,4,4,3,5,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,3,3,4,3,4,4,3,5,5,3,4,4,4,3,4,3,4,4,3,3,4,4,4,4,4,4,4,4,3,4,5,3,4,3,4,3,3,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4
499,Research was relevant.,natural number between 1 and 10,3,9,7,7,8,10,10,10,9,10,8,10,6,10,7,6,7,10,5,9,6,3,3,7,8,4,2,6,6,10,4,6,8,10,7,4,1,2,1,7,4,5,9,4,9,6,7,9,3,8,6,6,1,6,9,6,8,8,6,7,7,3,4,3,10,9,8,8,7,6,6,10,5,8,1,10,10,4,1,6,8,5,9,9,6,2,10,10,10,8,4,4,5,8,4,4,5,10,3,4
500,Research was current.,natural number between 1 and 10,9,2,8,3,8,10,4,3,5,9,8,3,7,2,9,2,5,4,8,10,6,7,7,6,10,7,4,10,10,4,2,6,1,1,1,3,1,8,10,10,1,10,10,4,1,4,10,5,3,8,3,5,3,6,6,3,7,5,10,7,5,6,6,7,5,2,10,10,10,8,8,7,1,1,10,4,3,5,5,7,4,10,2,10,8,4,4,8,6,10,8,3,9,3,9,1,1,2,8,3
501,Research was interesting.,natural number between 1 and 10,5,8,1,2,6,1,5,2,10,4,1,1,3,1,1,1,10,4,10,4,3,6,1,4,3,10,1,4,2,5,1,6,10,9,6,3,6,9,7,3,1,1,1,1,6,3,10,2,3,7,10,6,6,6,5,7,1,5,7,1,1,6,1,1,7,8,9,5,7,4,2,10,8,1,7,6,9,1,6,1,2,10,6,10,6,8,7,2,1,3,8,7,4,1,10,3,1,3,5,6
502,Research was understandable.,natural number between 1 and 10,1,10,1,2,3,6,5,1,1,4,1,1,6,5,1,1,1,1,1,2,1,1,1,6,1,5,4,9,10,1,7,7,2,4,7,7,1,1,1,1,10,9,6,2,4,10,6,1,10,2,1,2,1,1,1,4,1,5,1,8,6,1,3,10,1,7,7,4,1,8,5,1,1,9,3,1,5,2,1,5,10,5,2,1,2,6,8,8,2,1,5,4,10,6,10,1,6,9,1,2
503,Research was easy.,natural number between 1 and 10,3,4,8,2,5,6,3,3,4,5,9,10,4,2,6,3,3,3,7,3,3,6,3,4,9,2,5,2,9,1,3,7,3,1,1,6,3,7,4,3,6,2,5,2,4,3,7,8,8,8,6,3,4,5,6,7,5,6,7,5,5,6,4,5,4,3,1,5,1,6,3,6,7,3,3,3,1,1,3,3,6,3,5,9,9,2,8,3,5,4,8,8,1,8,6,9,4,8,5,1
504,These are my further thoughts on research.,text,I didn't really enjoy the one or two research projects I supported.,I didn't really have enough time to go deep with my research.,Could we start learning and doing research from Day 1?,I found the program lacking in some areas.,I think the program could use some improvements.,The program was quite beneficial.,The program provided great value.,The program met my expectations.,The program was adequate for my needs.,The program was adequate for my needs.,"Overall, the program was satisfactory.",The program was adequate for my needs.,I think the program could use some improvements.,I think the program could use some improvements.,I was not entirely satisfied with the program.,The program provided great value.,I think the program could use some improvements.,I think the program could use some improvements.,I think the program could use some improvements.,The program was quite beneficial.,I found the program lacking in some areas.,The program provided great value.,I think the program could use some improvements.,The program was quite beneficial.,The program met my expectations.,I found the program very helpful.,I was not entirely satisfied with the program.,I found the program very helpful.,The program was quite beneficial.,I found the program lacking in some areas.,The program was adequate for my needs.,The program met my expectations.,I think the program could use some improvements.,The program was adequate for my needs.,I found the program very helpful.,The program was adequate for my needs.,The program met my expectations.,I think the program could use some improvements.,The program provided great value.,I was not entirely satisfied with the program.,"Overall, the program was satisfactory.",The program was quite beneficial.,I found the program lacking in some areas.,I think the program could use some improvements.,The program was quite beneficial.,"Overall, the program was satisfactory.",The program met my expectations.,The program exceeded my expectations.,The program exceeded my expectations.,I was not entirely satisfied with the program.,The program exceeded my expectations.,The program was quite beneficial.,The program exceeded my expectations.,The program met my expectations.,The program was adequate for my needs.,I found the program lacking in some areas.,The program provided great value.,I found the program very helpful.,The program was adequate for my needs.,The program was adequate for my needs.,The program provided great value.,The program was adequate for my needs.,I was not entirely satisfied with the program.,I found the program very helpful.,The program provided great value.,I found the program lacking in some areas.,The program was quite beneficial.,The program met my expectations.,"Overall, the program was satisfactory.",The program was quite beneficial.,I found the program very helpful.,The program met my expectations.,I think the program could use some improvements.,The program met my expectations.,The program met my expectations.,The program provided great value.,The program exceeded my expectations.,The program exceeded my expectations.,The program met my expectations.,The program was quite beneficial.,I was not entirely satisfied with the program.,The program met my expectations.,I was not entirely satisfied with the program.,"Overall, the program was satisfactory.",The program exceeded my expectations.,The program exceeded my expectations.,I found the program lacking in some areas.,The program provided great value.,The program met my expectations.,The program was adequate for my needs.,I found the program lacking in some areas.,I found the program very helpful.,The program provided great value.,The program was quite beneficial.,The program met my expectations.,The program was quite beneficial.,I think the program could use some improvements.,I was not entirely satisfied with the program.,I found the program lacking in some areas.,I was not entirely satisfied with the program.
505,I see myself as a Data Scientist.,natural number between 1 and 10,6,6,5,5,6,4,5,5,5,5,5,5,5,5,5,6,5,6,4,4,5,6,6,5,6,6,5,5,5,5,6,5,5,5,4,5,6,5,6,5,5,5,5,5,5,4,4,4,6,5,6,4,6,6,5,4,5,4,5,5,4,4,4,4,6,6,5,5,6,6,5,5,6,4,5,6,5,6,5,6,5,5,6,4,4,5,6,5,5,5,5,6,5,5,5,5,5,6,6,5
506,I see myself as a Data Analyst.,natural number between 1 and 10,3,4,3,3,3,3,4,3,3,3,3,4,2,3,3,3,3,4,4,3,2,4,3,3,3,3,3,3,3,1,3,3,3,3,4,1,2,2,3,3,3,2,4,3,3,3,3,3,4,3,3,3,3,2,2,3,4,4,4,2,2,1,2,2,3,4,3,4,2,3,3,3,3,2,3,3,3,2,3,3,3,2,3,3,2,4,2,3,4,3,3,3,3,3,3,3,3,2,2,2
507,I see myself as a Data Engineer.,natural number between 1 and 10,4,7,3,2,2,5,6,4,4,7,5,3,5,5,5,4,4,5,6,7,5,4,6,6,3,2,7,2,7,5,4,6,3,2,8,5,7,1,1,1,1,5,3,5,5,4,1,6,6,2,3,5,4,5,3,6,2,3,10,7,4,2,3,5,2,6,4,2,2,2,3,5,7,3,2,4,4,8,3,8,2,2,3,7,4,5,3,7,3,3,4,3,3,8,5,7,1,5,6,9
508,I see myself as a Software Engineer.,natural number between 1 and 10,6,6,9,4,6,7,10,10,5,9,5,6,3,5,6,8,5,5,5,8,5,4,6,4,5,5,8,7,5,5,6,7,7,4,8,5,6,6,8,7,8,7,4,5,6,6,10,4,8,7,8,8,7,7,6,6,8,7,5,9,8,5,8,7,7,6,3,5,7,7,6,3,4,5,7,4,7,6,9,8,8,7,5,4,9,10,6,7,4,3,5,7,8,6,8,6,8,5,7,6
509,I see myself as a leader of a data science company.,natural number between 1 and 10,4,5,5,4,5,4,4,4,5,4,4,4,4,4,3,4,4,4,3,5,5,3,4,5,3,5,5,4,4,5,5,4,4,3,4,5,5,3,4,3,5,5,5,5,5,4,4,5,5,4,4,5,5,3,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,3,4,3,4,5,4,4,5,5,4,4,4,4,5,5,5,4,5,4,5,4,5,5,3,5,4,5,5,4
510,These are my further thoughts on seeing myself in one or more of these positions.,text,I see myself as a Data Analyst.,I aspire to be a Data Scientist.,My career goal is to become a Data Scientist.,My career goal is to become a Data Analyst.,I see myself as a Data Analyst.,I see myself as a Software Engineer.,I aspire to be a Data Engineer.,I aspire to be a Data Analyst.,I aim to work as a Software Engineer.,"In the future, I envision leading a data science company.",I see myself as a leader of a data science company.,"In the future, I envision being a Software Engineer.",I see myself as a leader of a data science company.,I see myself as a Data Scientist.,My career goal is to become a Data Scientist.,My career goal is to become a Data Analyst.,I aspire to be a Data Analyst.,I see myself as a Data Scientist.,My career goal is to become a Data Engineer.,My career goal is to become a Data Analyst.,I aim to work as a Data Analyst.,I aspire to be a Data Scientist.,I aspire to be a leader of a data science company.,I aim to work as a Data Engineer.,"In the future, I envision being a Software Engineer.",I aspire to be a leader of a data science company.,I see myself as a Software Engineer.,My career goal is to become a Software Engineer.,I aim to work as a Software Engineer.,I see myself as a Data Engineer.,I aim to work as a Data Engineer.,"In the future, I envision leading a data science company.","In the future, I envision being a Data Engineer.",I aspire to be a Data Scientist.,I see myself as a Data Scientist.,I see myself as a Software Engineer.,"In the future, I envision leading a data science company.",I see myself as a Data Engineer.,I aim to work as a Data Analyst.,I see myself as a leader of a data science company.,My career goal is to become a Software Engineer.,I aim to work as a Data Scientist.,I aim to work as a Data Analyst.,I aim to work as a Data Engineer.,My career goal is to become a Software Engineer.,My career goal is to lead a data science company.,I see myself as a leader of a data science company.,"In the future, I envision being a Data Engineer.",My career goal is to become a Software Engineer.,My career goal is to become a Data Scientist.,My career goal is to lead a data science company.,"In the future, I envision leading a data science company.","In the future, I envision being a Data Engineer.",I aim to work as a leader of a data science company.,I see myself as a leader of a data science company.,"In the future, I envision leading a data science company.",I aspire to be a leader of a data science company.,"In the future, I envision being a Software Engineer.",My career goal is to become a Software Engineer.,I aspire to be a Data Engineer.,"In the future, I envision being a Data Analyst.",I aim to work as a Data Scientist.,My career goal is to lead a data science company.,I aspire to be a Data Scientist.,I aspire to be a Data Scientist.,I aspire to be a Data Analyst.,I aspire to be a leader of a data science company.,My career goal is to become a Data Engineer.,I aim to work as a Data Scientist.,"In the future, I envision being a Software Engineer.",My career goal is to become a Software Engineer.,I aim to work as a Data Analyst.,"In the future, I envision being a Data Engineer.",I aim to work as a Data Engineer.,I aim to work as a leader of a data science company.,I see myself as a Data Engineer.,I aspire to be a leader of a data science company.,"In the future, I envision being a Data Analyst.",I aim to work as a Data Engineer.,I see myself as a Data Scientist.,I aspire to be a Data Engineer.,I aim to work as a Data Analyst.,"In the future, I envision being a Data Scientist.","In the future, I envision leading a data science company.",I see myself as a Data Analyst.,I aspire to be a Software Engineer.,I aspire to be a leader of a data science company.,I aspire to be a Data Engineer.,I aspire to be a Software Engineer.,"In the future, I envision being a Software Engineer.",I see myself as a Data Scientist.,I aspire to be a Software Engineer.,I aspire to be a leader of a data science company.,My career goal is to become a Data Analyst.,I aim to work as a Software Engineer.,I aspire to be a Data Scientist.,I aim to work as a Data Analyst.,I aspire to be a Data Analyst.,"In the future, I envision leading a data science company.",My career goal is to become a Software Engineer.
511,I am ready to work in a data space.,natural number between 1 and 10,8,1,3,10,1,1,1,1,1,2,10,2,3,4,7,5,8,1,4,2,7,3,10,3,4,1,5,2,3,4,9,1,1,3,8,2,10,1,1,1,1,5,1,5,1,4,9,6,1,4,1,1,7,7,1,2,2,2,1,1,4,4,1,1,6,6,6,1,1,5,5,8,4,3,1,4,1,4,1,1,4,4,4,10,2,5,4,9,1,5,2,2,7,6,1,10,9,9,7,8
512,These are my further thoughts on how ready I am to work in a data space.,text,I am not eager to work in a data space.,I feel ready to work in a data space.,I am not eager to work in a data space.,I feel ready to work in a data space.,I do not feel capable of working in a data space.,I am not prepared to work in a data space.,I do not feel capable of working in a data space.,I am eager to work in a data space.,I am eager to work in a data space.,I do not feel ready to work in a data space.,I am confident about working in a data space.,I am not prepared to work in a data space.,I do not feel ready to work in a data space.,I do not feel ready to work in a data space.,I am confident about working in a data space.,I feel capable of working in a data space.,I am prepared to work in a data space.,I lack confidence about working in a data space.,I do not feel ready to work in a data space.,I feel ready to work in a data space.,I am not prepared to work in a data space.,I am eager to work in a data space.,I do not feel capable of working in a data space.,I do not feel ready to work in a data space.,I am prepared to work in a data space.,I am prepared to work in a data space.,I feel ready to work in a data space.,I am eager to work in a data space.,I lack confidence about working in a data space.,I am not prepared to work in a data space.,I feel capable of working in a data space.,I am prepared to work in a data space.,I am eager to work in a data space.,I lack confidence about working in a data space.,I do not feel capable of working in a data space.,I am not prepared to work in a data space.,I lack confidence about working in a data space.,I feel capable of working in a data space.,I am not prepared to work in a data space.,I do not feel capable of working in a data space.,I am confident about working in a data space.,I do not feel capable of working in a data space.,I do not feel ready to work in a data space.,I am prepared to work in a data space.,I am not eager to work in a data space.,I am not prepared to work in a data space.,I feel capable of working in a data space.,I am eager to work in a data space.,I feel capable of working in a data space.,I lack confidence about working in a data space.,I lack confidence about working in a data space.,I am not eager to work in a data space.,I am eager to work in a data space.,I feel capable of working in a data space.,I lack confidence about working in a data space.,I feel ready to work in a data space.,I am confident about working in a data space.,I lack confidence about working in a data space.,I am confident about working in a data space.,I lack confidence about working in a data space.,I lack confidence about working in a data space.,I am not prepared to work in a data space.,I feel capable of working in a data space.,I am eager to work in a data space.,I am not prepared to work in a data space.,I feel ready to work in a data space.,I feel ready to work in a data space.,I do not feel ready to work in a data space.,I am not prepared to work in a data space.,I am confident about working in a data space.,I do not feel capable of working in a data space.,I am prepared to work in a data space.,I am not eager to work in a data space.,I am eager to work in a data space.,I do not feel capable of working in a data space.,I do not feel capable of working in a data space.,I lack confidence about working in a data space.,I feel ready to work in a data space.,I lack confidence about working in a data space.,I am not prepared to work in a data space.,I am confident about working in a data space.,I do not feel capable of working in a data space.,I am eager to work in a data space.,I feel capable of working in a data space.,I lack confidence about working in a data space.,I am confident about working in a data space.,I feel ready to work in a data space.,I am eager to work in a data space.,I am eager to work in a data space.,I feel capable of working in a data space.,I lack confidence about working in a data space.,I do not feel ready to work in a data space.,I am prepared to work in a data space.,I am confident about working in a data space.,I am not prepared to work in a data space.,I am not eager to work in a data space.,I am confident about working in a data space.,I am not eager to work in a data space.,I do not feel capable of working in a data space.,I feel ready to work in a data space.
513,I fully maintained a work-life balance while enrolled in the BSDS program.,natural number between 1 and 10,5,5,10,9,7,6,4,5,1,5,8,10,5,7,4,9,4,6,10,8,4,10,5,4,7,5,10,10,9,9,6,5,4,3,6,9,5,6,6,7,3,9,8,2,10,7,6,8,6,8,7,10,3,5,9,5,5,5,8,8,2,3,9,9,1,6,7,1,7,1,8,5,7,6,6,2,2,5,7,9,4,10,2,6,7,8,5,10,10,5,7,6,2,6,5,10,3,1,4,2
514,These are my further thoughts on the extent to which I maintained a work-life balance.,text,I struggled to balance work and life.,I did not manage to balance work and personal life.,I did not achieve a work life balance.,I did not maintain a work life balance.,I struggled to balance work and life.,I kept a good work life balance.,I achieved a work life balance.,I failed to keep a work life balance.,I maintained a work life balance.,I did not manage to balance work and personal life.,I did not manage to balance work and personal life.,I managed to balance work and personal life.,I failed to keep a work life balance.,I did not manage to balance work and personal life.,I did not maintain a work life balance.,I struggled to balance work and life.,I did not manage to balance work and personal life.,I did not achieve a work life balance.,I failed to keep a work life balance.,I did not manage to balance work and personal life.,I failed to keep a work life balance.,I managed to balance work and personal life.,I achieved a work life balance.,I managed to balance work and personal life.,I maintained a work life balance.,I did not maintain a work life balance.,I did not achieve a work life balance.,I maintained a work life balance.,I successfully balanced work and life.,I achieved a work life balance.,I kept a good work life balance.,I achieved a work life balance.,I kept a good work life balance.,I did not manage to balance work and personal life.,I managed to balance work and personal life.,I struggled to balance work and life.,I maintained a work life balance.,I struggled to balance work and life.,I maintained a work life balance.,I maintained a work life balance.,I achieved a work life balance.,I did not achieve a work life balance.,I struggled to balance work and life.,I failed to keep a work life balance.,I struggled to balance work and life.,I did not maintain a work life balance.,I kept a good work life balance.,I did not maintain a work life balance.,I successfully balanced work and life.,I kept a good work life balance.,I maintained a work life balance.,I failed to keep a work life balance.,I did not achieve a work life balance.,I achieved a work life balance.,I maintained a work life balance.,I did not maintain a work life balance.,I did not manage to balance work and personal life.,I kept a good work life balance.,I did not manage to balance work and personal life.,I failed to keep a work life balance.,I kept a good work life balance.,I maintained a work life balance.,I failed to keep a work life balance.,I successfully balanced work and life.,I maintained a work life balance.,I did not achieve a work life balance.,I kept a good work life balance.,I struggled to balance work and life.,I kept a good work life balance.,I did not achieve a work life balance.,I did not maintain a work life balance.,I managed to balance work and personal life.,I managed to balance work and personal life.,I achieved a work life balance.,I struggled to balance work and life.,I maintained a work life balance.,I did not achieve a work life balance.,I successfully balanced work and life.,I successfully balanced work and life.,I kept a good work life balance.,I managed to balance work and personal life.,I kept a good work life balance.,I successfully balanced work and life.,I did not maintain a work life balance.,I maintained a work life balance.,I maintained a work life balance.,I did not achieve a work life balance.,I kept a good work life balance.,I failed to keep a work life balance.,I struggled to balance work and life.,I did not maintain a work life balance.,I did not maintain a work life balance.,I did not manage to balance work and personal life.,I managed to balance work and personal life.,I achieved a work life balance.,I struggled to balance work and life.,I did not maintain a work life balance.,I failed to keep a work life balance.,I did not maintain a work life balance.,I did not maintain a work life balance.
515,I felt extremely stressed while enrolled in the BSDS program.,natural number between 1 and 10,3,5,6,4,4,6,5,3,4,1,3,3,5,4,6,3,2,5,4,4,6,4,4,7,2,6,6,4,5,1,3,5,2,7,6,3,4,6,1,3,3,5,5,4,7,4,4,4,4,4,4,2,5,5,5,8,2,1,3,5,3,6,4,3,6,6,6,7,4,3,2,5,5,4,5,4,5,4,4,1,6,5,6,5,6,3,6,5,3,5,4,4,4,4,3,4,5,5,5,5
516,These are my further thoughts on the stress that I experienced.,text,Stress was a big part of my life.,I struggled with stress.,My stress was low.,I experienced high levels of stress.,I experienced low levels of stress.,I experienced low levels of stress.,I experienced low levels of stress.,I was stressed.,I experienced high levels of stress.,I was stressed.,I managed stress well.,My stress was low.,I felt little stress.,My stress was low.,I felt little stress.,Stress was not a big part of my life.,Stress was a big part of my life.,I felt a lot of stress.,Stress was a big part of my life.,My stress was low.,I experienced high levels of stress.,I experienced low levels of stress.,I experienced low levels of stress.,Stress was a big part of my life.,I was stressed.,My stress was low.,I struggled with stress.,I struggled with stress.,I struggled with stress.,Stress was not a big part of my life.,I felt little stress.,I struggled with stress.,Stress was not a big part of my life.,My stress was low.,I felt little stress.,Stress was not a big part of my life.,I experienced high levels of stress.,I managed stress well.,I experienced high levels of stress.,I felt little stress.,I was stressed.,My stress was low.,I was stressed.,I managed stress well.,Stress was a big part of my life.,I managed stress well.,I experienced high levels of stress.,Stress was not a big part of my life.,I felt little stress.,I was stressed.,My stress was low.,I felt a lot of stress.,Stress was not a big part of my life.,Stress was not a big part of my life.,Stress was not a big part of my life.,My stress was low.,I felt little stress.,I felt a lot of stress.,I felt little stress.,Stress was not a big part of my life.,Stress was not a big part of my life.,I experienced high levels of stress.,My stress was low.,I felt little stress.,I felt little stress.,I experienced high levels of stress.,I felt a lot of stress.,I experienced low levels of stress.,Stress was not a big part of my life.,I struggled with stress.,Stress was a big part of my life.,I felt little stress.,I experienced high levels of stress.,I experienced low levels of stress.,My stress was low.,My stress was low.,Stress was a big part of my life.,I was stressed.,I managed stress well.,I struggled with stress.,I felt little stress.,I was stressed.,I managed stress well.,I experienced high levels of stress.,Stress was a big part of my life.,I experienced high levels of stress.,Stress was a big part of my life.,I felt a lot of stress.,I was stressed.,I experienced high levels of stress.,I experienced high levels of stress.,I experienced low levels of stress.,I managed stress well.,Stress was not a big part of my life.,I was stressed.,I felt little stress.,I struggled with stress.,My stress was low.,Stress was not a big part of my life.,I struggled with stress.
517,I took this number of courses per semester on average.,whole number,5,5,6,5,5,5,5,4,4,6,4,5,5,4,5,5,5,5,5,5,5,4,5,4,5,4,4,4,5,6,6,4,5,5,5,5,5,5,5,5,4,6,4,5,4,4,4,5,6,5,6,3,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,4,5,5,6,5,5,5,5,4,5,5,5,6,6,5,5,4,5,5,5
518,These are my further thoughts on how many courses I took per semester on average.,text,I struggled with taking 5 courses per semester.,Managing 6 courses per semester was overwhelming.,Taking 4 courses per semester was manageable.,I enjoyed the challenge of taking 5 courses per semester.,Completing 6 courses per semester required a lot of effort.,Completing 6 courses per semester required a lot of effort.,Taking 4 courses per semester was manageable.,Taking 5 courses per semester allowed me to complete the BSDS program quickly.,Taking 3 courses per semester felt too slow.,Taking 6 courses per semester was too much.,I enjoyed the challenge of taking 5 courses per semester.,Managing 6 courses per semester was overwhelming.,Taking 4 courses per semester was manageable.,Taking 6 courses per semester was too much.,Taking 4 courses per semester was a good balance.,Taking 5 courses per semester allowed me to complete the BSDS program quickly.,I found it difficult to handle 5 courses per semester.,Taking 3 courses per semester felt too slow.,I found it difficult to handle 5 courses per semester.,I found it difficult to handle 5 courses per semester.,Taking 6 courses per semester was too much.,Taking 4 courses per semester was manageable.,Managing 6 courses per semester was overwhelming.,I enjoyed the challenge of taking 5 courses per semester.,Managing 6 courses per semester was overwhelming.,Taking 4 courses per semester was a good balance.,Taking 5 courses per semester allowed me to complete the BSDS program quickly.,Completing 6 courses per semester required a lot of effort.,Managing 6 courses per semester was overwhelming.,Taking 3 courses per semester felt too slow.,Taking 6 courses per semester was too much.,I struggled with taking 5 courses per semester.,Taking 4 courses per semester was a good balance.,Managing 6 courses per semester was overwhelming.,I enjoyed the challenge of taking 5 courses per semester.,I enjoyed the challenge of taking 5 courses per semester.,I enjoyed the challenge of taking 5 courses per semester.,I struggled with taking 5 courses per semester.,Taking 6 courses per semester was too much.,Completing 6 courses per semester required a lot of effort.,Taking 6 courses per semester was too much.,Taking 4 courses per semester was manageable.,I struggled with taking 5 courses per semester.,I enjoyed the challenge of taking 5 courses per semester.,Completing 6 courses per semester required a lot of effort.,Completing 6 courses per semester required a lot of effort.,I enjoyed the challenge of taking 5 courses per semester.,I enjoyed the challenge of taking 5 courses per semester.,Completing 6 courses per semester required a lot of effort.,Taking 5 courses per semester allowed me to complete the BSDS program quickly.,Taking 5 courses per semester allowed me to complete the BSDS program quickly.,Taking 4 courses per semester was manageable.,Taking 3 courses per semester felt too slow.,Completing 6 courses per semester required a lot of effort.,Taking 6 courses per semester was too much.,Taking 4 courses per semester was a good balance.,Taking 4 courses per semester was a good balance.,Taking 6 courses per semester was too much.,Taking 3 courses per semester felt too slow.,I found it difficult to handle 5 courses per semester.,Completing 6 courses per semester required a lot of effort.,Taking 6 courses per semester was too much.,Completing 6 courses per semester required a lot of effort.,Taking 6 courses per semester was too much.,I struggled with taking 5 courses per semester.,Taking 4 courses per semester was manageable.,Taking 3 courses per semester felt too slow.,I enjoyed the challenge of taking 5 courses per semester.,Taking 5 courses per semester allowed me to complete the BSDS program quickly.,Taking 5 courses per semester allowed me to complete the BSDS program quickly.,Completing 6 courses per semester required a lot of effort.,Taking 4 courses per semester was manageable.,Taking 4 courses per semester was manageable.,I struggled with taking 5 courses per semester.,Completing 6 courses per semester required a lot of effort.,Taking 3 courses per semester felt too slow.,Taking 3 courses per semester felt too slow.,Taking 4 courses per semester was a good balance.,Taking 3 courses per semester felt too slow.,Taking 5 courses per semester allowed me to complete the BSDS program quickly.,I enjoyed the challenge of taking 5 courses per semester.,Taking 5 courses per semester allowed me to complete the BSDS program quickly.,Taking 5 courses per semester allowed me to complete the BSDS program quickly.,I struggled with taking 5 courses per semester.,Taking 5 courses per semester allowed me to complete the BSDS program quickly.,I enjoyed the challenge of taking 5 courses per semester.,Taking 3 courses per semester felt too slow.,I struggled with taking 5 courses per semester.,I enjoyed the challenge of taking 5 courses per semester.,Completing 6 courses per semester required a lot of effort.,Taking 3 courses per semester felt too slow.,Taking 6 courses per semester was too much.,Taking 6 courses per semester was too much.,Taking 6 courses per semester was too much.,Managing 6 courses per semester was overwhelming.,Taking 6 courses per semester was too much.,I enjoyed the challenge of taking 5 courses per semester.,Taking 4 courses per semester was a good balance.,Managing 6 courses per semester was overwhelming.,I found it difficult to handle 5 courses per semester.
519,I would charge this much for a course in the BSDS program.,whole number,470,1103,1736,1190,1617,1088,1418,708,1237,1357,888,1189,1249,1118,1680,1283,581,1562,803,939,1415,1401,1172,492,733,1439,832,1386,561,1699,1108,1342,1329,1675,1013,602,534,1351,1358,628,1041,642,1463,885,1495,1433,1572,888,1716,1084,711,500,659,1131,610,1131,959,1186,1458,1223,1406,1159,1702,895,1057,995,1715,1462,791,740,1573,1086,613,625,1060,1175,901,1418,879,956,489,1018,517,1415,958,844,602,687,1499,1349,848,967,890,517,529,1312,1545,1516,489,1028
